0,Orthology,Reaction,Reaction_decode,Pathway,Pathway_decode,Module,Module_decode
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]",R08310,"4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one + NAD+ <=> 5-Phenyl-1,3-oxazinane-2,4-dione + NADH + H+",map01220,Degradation of aromatic compounds,,
K00125,fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6],R11944,Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate,map01200,Carbon metabolism,M00567,"Methanogenesis, CO2 => methane"
K00126,fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9],R00519,Formate + NAD+ <=> H+ + CO2 + NADH,map01200,Carbon metabolism,,
K00127,"fdoI, fdsG; formate dehydrogenase subunit gamma",R00519,Formate + NAD+ <=> H+ + CO2 + NADH,map01200,Carbon metabolism,,
K00128,ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],R08146,"2-trans,6-trans-Farnesal + NAD+ + H2O <=> Farnesoic acid + NADH + H+",map01130,Biosynthesis of antibiotics,M00135,"GABA biosynthesis, eukaryotes, putrescine => GABA"
K00129,E1.2.1.5; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5],R08307,3-Carbamoyl-2-phenylpropionaldehyde + NAD+ + H2O <=> 3-Carbamoyl-2-phenylpropionic acid + NADH + H+,map05204,Chemical carcinogenesis,,
K00130,"betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]",R02566,Betaine aldehyde + NADP+ + H2O <=> Betaine + NADPH + 2 H+,map01100,Metabolic pathways,M00555,"Betaine biosynthesis, choline => betaine"
K00131,gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9],R01058,D-Glyceraldehyde 3-phosphate + NADP+ + H2O <=> 3-Phospho-D-glycerate + NADPH + H+,map01200,Carbon metabolism,M00633,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P"
K00132,E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10],R01172,Butanal + CoA + NAD+ <=> Butanoyl-CoA + NADH + H+,map01120,Microbial metabolism in diverse environments,,
K00133,asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],R02291,L-Aspartate 4-semialdehyde + Orthophosphate + NADP+ <=> 4-Phospho-L-aspartate + NADPH + H+,map01230,Biosynthesis of amino acids,M00527,"Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine"
K00134,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]",R01061,D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+,map05010,Alzheimer disease,M00552,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P"
K00135,gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],R02401,5-Oxopentanoate + NAD+ + H2O <=> Glutarate + NADH + H+,map01120,Microbial metabolism in diverse environments,M00027,GABA (gamma-Aminobutyrate) shunt
K00137,prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19],R12215,5-Aminopentanal + NAD+ + H2O <=> 5-Aminopentanoate + NADH + H+,map01120,Microbial metabolism in diverse environments,,
K00138,aldB; aldehyde dehydrogenase [EC:1.2.1.-],R00711,Acetaldehyde + NADP+ + H2O <=> Acetate + NADPH + H+,map01120,Microbial metabolism in diverse environments,,
K00139,ALDH5A1; succinate-semialdehyde dehydrogenase [EC:1.2.1.24],R00713,Succinate semialdehyde + NAD+ + H2O <=> Succinate + NADH + H+,map01120,Microbial metabolism in diverse environments,M00027,GABA (gamma-Aminobutyrate) shunt
K00140,"mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]",R00935,(S)-Methylmalonate semialdehyde + CoA + NAD+ <=> Propanoyl-CoA + CO2 + NADH + H+,map01200,Carbon metabolism,M00013,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"
K00141,xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28],R07667,3-Hydroxybenzaldehyde + NAD+ + H2O <=> 3-Hydroxybenzoate + NADH + H+,map01220,Degradation of aromatic compounds,M00538,"Toluene degradation, toluene => benzoate"
K00142,AASDH; acyl-CoA synthetase [EC:6.2.1.-],,,,,,
K00143,LYS2; L-2-aminoadipate reductase [EC:1.2.1.95],R11679,L-2-Aminoadipate 6-semialdehyde + NADP+ + AMP + Diphosphate <=> L-2-Aminoadipate + NADPH + H+ + ATP,map01230,Biosynthesis of amino acids,M00030,"Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"
K00145,argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38],R03443,N-Acetyl-L-glutamate 5-semialdehyde + Orthophosphate + NADP+ <=> N-Acetyl-L-glutamate 5-phosphate + NADPH + H+,map01230,Biosynthesis of amino acids,M00845,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
K00146,feaB; phenylacetaldehyde dehydrogenase [EC:1.2.1.39],R03300,"3,4-Dihydroxyphenylacetaldehyde + NAD+ + H2O <=> 3,4-Dihydroxyphenylacetate + NADH + H+",map01120,Microbial metabolism in diverse environments,,
K00147,proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41],R03313,L-Glutamate 5-semialdehyde + Orthophosphate + NADP+ <=> L-Glutamyl 5-phosphate + NADPH + H+,map01230,Biosynthesis of amino acids,M00015,"Proline biosynthesis, glutamate => proline"
K00148,fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46],R00604,Formaldehyde + NAD+ + H2O <=> Formate + NADH + H+,map01200,Carbon metabolism,,
K00149,ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3],R05050,N4-Acetylaminobutanal + NAD+ + H2O <=> 4-Acetamidobutanoate + NADH + H+,map01130,Biosynthesis of antibiotics,M00135,"GABA biosynthesis, eukaryotes, putrescine => GABA"
K00150,gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59],R01063,D-Glyceraldehyde 3-phosphate + Orthophosphate + NADP+ <=> 3-Phospho-D-glyceroyl phosphate + NADPH + H+,map01230,Biosynthesis of amino acids,M00166,"Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P"
K00151,"hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]",R04418,2-Hydroxy-5-carboxymethylmuconate semialdehyde + NAD+ + H2O <=> 5-Carboxymethyl-2-hydroxymuconate + NADH + H+,map01220,Degradation of aromatic compounds,M00533,"Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate"
K00152,nahF; salicylaldehyde dehydrogenase [EC:1.2.1.65],R02941,Salicylaldehyde + NAD+ + H2O <=> Salicylate + NADH + H+,map01220,Degradation of aromatic compounds,M00534,"Naphthalene degradation, naphthalene => salicylate"
K00153,E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306],R10301,S-(Hydroxymethyl)mycothiol + NAD+ + H2O <=> Formate + Mycothiol + NADH + H+,,,,
K00154,E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68],,,,,,
K00155,"lnaA, lnbA; L-tyrosine reductase [EC:1.2.1.101]",,,,,,
K00156,poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1],R03145,Pyruvate + Ubiquinone + H2O <=> Acetate + Ubiquinol + CO2,map01100,Metabolic pathways,,
K00157,AOX; aldehyde oxidase [EC:1.2.3.1],R08408,1-Methylnicotinamide + Oxygen + H2O <=> N1-Methyl-2-pyridone-5-carboxamide + Hydrogen peroxide + H+,map04630,JAK-STAT signaling pathway,,
K00158,"E1.2.3.3, poxL; pyruvate oxidase [EC:1.2.3.3]",R00207,Pyruvate + Orthophosphate + Oxygen <=> Acetyl phosphate + Hydrogen peroxide + CO2,map01100,Metabolic pathways,,
K00161,"PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]",R03270,2-(alpha-Hydroxyethyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + Thiamin diphosphate,map05230,Central carbon metabolism in cancer,M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA"
K00162,"PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]",R03270,2-(alpha-Hydroxyethyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + Thiamin diphosphate,map05230,Central carbon metabolism in cancer,M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA"
K00163,aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1],R03270,2-(alpha-Hydroxyethyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + Thiamin diphosphate,map01200,Carbon metabolism,M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA"
K00164,"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]",R08549,2-Oxoglutarate + CoA + NAD+ <=> Succinyl-CoA + CO2 + NADH + H+,map01200,Carbon metabolism,M00011,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
K00166,"BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]",R10997,2-(alpha-Hydroxypropyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> Enzyme N6-(S-propyldihydrolipoyl)lysine + Thiamin diphosphate,map01130,Biosynthesis of antibiotics,M00036,"Leucine degradation, leucine => acetoacetate + acetyl-CoA"
K00167,"BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]",R10997,2-(alpha-Hydroxypropyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> Enzyme N6-(S-propyldihydrolipoyl)lysine + Thiamin diphosphate,map01130,Biosynthesis of antibiotics,M00036,"Leucine degradation, leucine => acetoacetate + acetyl-CoA"
K00169,porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],R08034,"2,4-Diamino-6-nitrotoluene <=> 2,4-Diamino-6-hydroxylaminotoluene",map01200,Carbon metabolism,M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate"
K00170,porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],R08034,"2,4-Diamino-6-nitrotoluene <=> 2,4-Diamino-6-hydroxylaminotoluene",map01200,Carbon metabolism,M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate"
K00171,porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],R08034,"2,4-Diamino-6-nitrotoluene <=> 2,4-Diamino-6-hydroxylaminotoluene",map01200,Carbon metabolism,M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate"
K00172,porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1],R08034,"2,4-Diamino-6-nitrotoluene <=> 2,4-Diamino-6-hydroxylaminotoluene",map01200,Carbon metabolism,M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate"
K00174,"korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]",R01197,2 Reduced ferredoxin + Succinyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + 2-Oxoglutarate + CoA,map01200,Carbon metabolism,M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate"
K00175,"korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]",R01197,2 Reduced ferredoxin + Succinyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + 2-Oxoglutarate + CoA,map01200,Carbon metabolism,M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate"
K00176,"korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]",R01197,2 Reduced ferredoxin + Succinyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + 2-Oxoglutarate + CoA,map01200,Carbon metabolism,M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate"
K00177,"korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]",R01197,2 Reduced ferredoxin + Succinyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + 2-Oxoglutarate + CoA,map01200,Carbon metabolism,M00620,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate"
K00179,"iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]",,,,,,
K00180,"iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]",,,,,,
K00181,PORCN; O-palmitoleoyl transferase [EC:2.3.1.250],R11201,Palmitoleoyl-CoA + [Wnt]-L-serine <=> CoA + [Wnt]-O-(9Z)-hexadec-9-enoyl-L-serine,map04310,Wnt signaling pathway,,
K00182,"WNT2; wingless-type MMTV integration site family, member 2",,,map05226,Gastric cancer,,
K00183,"K00183; prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit",,,,,,
K00184,"K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit",R09501,Dimethyl sulfide + Menaquinone + H2O <=> Dimethyl sulfoxide + Menaquinol,,,,
K00185,"K00185; prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit",R09501,Dimethyl sulfide + Menaquinone + H2O <=> Dimethyl sulfoxide + Menaquinol,,,,
K00186,"vorA; 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]",R08567,(S)-3-Methyl-2-oxopentanoic acid + CoA + 2 Oxidized ferredoxin <=> (S)-2-Methylbutanoyl-CoA + CO2 + 2 Reduced ferredoxin + H+,map01100,Metabolic pathways,,
K00187,"vorB; 2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]",R08567,(S)-3-Methyl-2-oxopentanoic acid + CoA + 2 Oxidized ferredoxin <=> (S)-2-Methylbutanoyl-CoA + CO2 + 2 Reduced ferredoxin + H+,map01100,Metabolic pathways,,
K00188,"vorD; 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]",R08567,(S)-3-Methyl-2-oxopentanoic acid + CoA + 2 Oxidized ferredoxin <=> (S)-2-Methylbutanoyl-CoA + CO2 + 2 Reduced ferredoxin + H+,map01100,Metabolic pathways,,
K00189,"vorG; 2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.7]",R08567,(S)-3-Methyl-2-oxopentanoic acid + CoA + 2 Oxidized ferredoxin <=> (S)-2-Methylbutanoyl-CoA + CO2 + 2 Reduced ferredoxin + H+,map01100,Metabolic pathways,,
K00192,"cdhA; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]",R07157,CO + H2O + 2 Oxidized ferredoxin <=> CO2 + 2 Reduced ferredoxin + 2 H+,map01200,Carbon metabolism,M00422,"Acetyl-CoA pathway, CO2 => acetyl-CoA"
K00193,"cdhC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]",R10219,Acetyl-CoA + Tetrahydrosarcinapterin <=> CoA + 5-Methyl-H4SPT + CO,map01200,Carbon metabolism,M00422,"Acetyl-CoA pathway, CO2 => acetyl-CoA"
K00194,"cdhD, acsD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]",R10243,Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO,map01200,Carbon metabolism,M00422,"Acetyl-CoA pathway, CO2 => acetyl-CoA"
K00195,"cdhB; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon",R07157,CO + H2O + 2 Oxidized ferredoxin <=> CO2 + 2 Reduced ferredoxin + 2 H+,map01200,Carbon metabolism,M00422,"Acetyl-CoA pathway, CO2 => acetyl-CoA"
K00196,cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit,R08034,"2,4-Diamino-6-nitrotoluene <=> 2,4-Diamino-6-hydroxylaminotoluene",map01200,Carbon metabolism,,
K00197,"cdhE, acsC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]",R10243,Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO,map01200,Carbon metabolism,M00422,"Acetyl-CoA pathway, CO2 => acetyl-CoA"
K00198,"cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]",R08034,"2,4-Diamino-6-nitrotoluene <=> 2,4-Diamino-6-hydroxylaminotoluene",map01200,Carbon metabolism,M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
K00200,"fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]",R08060,Formylmethanofuran + H2O <=> Formate + Methanofuran,map01200,Carbon metabolism,M00567,"Methanogenesis, CO2 => methane"
K00201,"fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]",R08060,Formylmethanofuran + H2O <=> Formate + Methanofuran,map01200,Carbon metabolism,M00567,"Methanogenesis, CO2 => methane"
K00202,"fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]",R11743,Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,map01200,Carbon metabolism,M00567,"Methanogenesis, CO2 => methane"
K00203,"fwdD, fmdD; formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]",R11743,Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,map01200,Carbon metabolism,M00567,"Methanogenesis, CO2 => methane"
K00204,fwdH; 4Fe-4S ferredoxin,R11743,Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,map01200,Carbon metabolism,M00567,"Methanogenesis, CO2 => methane"
K00205,"fwdF, fmdF; 4Fe-4S ferredoxin",R11743,Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,map01200,Carbon metabolism,M00567,"Methanogenesis, CO2 => methane"
K00206,phnY; phosphonoacetaldehyde dehydrogenase [EC:1.2.1.-],R04251,Phosphonoacetaldehyde + NAD+ + H2O <=> Phosphonoacetate + NADH + H+,map01120,Microbial metabolism in diverse environments,,
K00207,DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2],R08226,"5-FU + NADPH + H+ <=> 5,6-Dihydro-5-fluorouracil + NADP+",map01100,Metabolic pathways,M00046,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"
K00208,fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],R11671,Malonyl-CoA + Acetyl-CoA <=> Dodecanoyl-[acyl-carrier protein],map01212,Fatty acid metabolism,M00572,"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP"
K00209,"fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]",R04969,Hexadecanoyl-[acp] + NAD+ <=> trans-Hexadec-2-enoyl-[acp] + NADH + H+,map01212,Fatty acid metabolism,M00083,"Fatty acid biosynthesis, elongation"
K00210,E1.3.1.12; prephenate dehydrogenase [EC:1.3.1.12],,,map01230,Biosynthesis of amino acids,M00025,"Tyrosine biosynthesis, chorismate => tyrosine"
K00211,TYR1; prephenate dehydrogenase (NADP+) [EC:1.3.1.13],R01730,Prephenate + NADP+ <=> 3-(4-Hydroxyphenyl)pyruvate + CO2 + NADPH + H+,map01130,Biosynthesis of antibiotics,,
K00212,AKR1C1; 20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:1.1.1.149 1.1.1.357 1.3.1.20],R09420,4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone + NADPH + H+ <=> 4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol + NADP+,map00980,Metabolism of xenobiotics by cytochrome P450,,
K00213,DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21],R07492,5-Dehydroepisterol <=> 24-Methylenecholesterol,map01110,Biosynthesis of secondary metabolites,M00101,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol"
K00214,"BLVRA, bvdR; biliverdin reductase [EC:1.3.1.24]",R02393,Bilirubin + NADP+ <=> Biliverdin + NADPH + H+,map01110,Biosynthesis of secondary metabolites,,
K00215,dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8],R04199,"2,3,4,5-Tetrahydrodipicolinate + NADP+ + H2O <=> (2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate + NADPH + H+",map01230,Biosynthesis of amino acids,M00527,"Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine"
K00216,"entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]",R01505,"(2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate + NAD+ <=> 2,3-Dihydroxybenzoate + NADH + H+",map01130,Biosynthesis of antibiotics,,
K00217,E1.3.1.32; maleylacetate reductase [EC:1.3.1.32],R09224,5-Methylmaleylacetate + NADH + H+ <=> 2-Methyl-3-oxoadipate + NAD+,map01220,Degradation of aromatic compounds,,
K00218,por; protochlorophyllide reductase [EC:1.3.1.33],R06286,Divinyl chlorophyllide a + NADP+ <=> Divinylprotochlorophyllide + NADPH + H+,map01110,Biosynthesis of secondary metabolites,,
K00219,"fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]",,,,,,
K00220,tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12],R01728,Prephenate + NAD+ <=> 3-(4-Hydroxyphenyl)pyruvate + CO2 + NADH + H+,map01230,Biosynthesis of amino acids,M00040,"Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine"
K00221,E4.99.1.2; alkylmercury lyase [EC:4.99.1.2],,,,,,
K00222,"TM7SF2, ERG24; Delta14-sterol reductase [EC:1.3.1.70]",R07483,"4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol + NADPH + H+ <=> 4alpha-Methylfecosterol + NADP+",map01130,Biosynthesis of antibiotics,M00101,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol"
K00223,ERG4; Delta24(24(1))-sterol reductase [EC:1.3.1.71],R05641,"Ergosterol + NADP+ <=> Ergosta-5,7,22,24(28)-tetraen-3beta-ol + NADPH + H+",map01130,Biosynthesis of antibiotics,M00102,Ergocalciferol biosynthesis
K00224,CEQORH; chloroplastic oxoene reductase [EC:1.3.1.-],R12141,"9-Hydroxy-12-oxo-10(E),15(Z)-octadecadienoic acid + NADPH + H+ <=> 9-Hydroxy-12-oxo-15(Z)-octadecenoic acid + NADP+",map01110,Biosynthesis of secondary metabolites,,
K00225,"GLDH; L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]",R07679,Ascorbate + 2 Ferricytochrome c <=> Dehydroascorbate + 2 Ferrocytochrome c + 2 H+,map01110,Biosynthesis of secondary metabolites,M00114,"Ascorbate biosynthesis, plants, glucose-6P => ascorbate"
K00226,pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1],R01867,(S)-Dihydroorotate + Fumarate <=> Orotate + Succinate,map01100,Metabolic pathways,M00051,"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP"
K00227,"SC5DL, ERG3; Delta7-sterol 5-desaturase [EC:1.14.19.20]",R07491,Episterol + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> 5-Dehydroepisterol + 2 Ferricytochrome b5 + 2 H2O,map01130,Biosynthesis of antibiotics,M00102,Ergocalciferol biosynthesis
K00228,"CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]",R03220,Coproporphyrinogen III + Oxygen <=> Protoporphyrinogen IX + 2 CO2 + 2 H2O,map01110,Biosynthesis of secondary metabolites,M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
K00230,hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3],R09489,Protoporphyrinogen IX + 3 Quinone <=> Protoporphyrin + 3 Hydroquinone,map01110,Biosynthesis of secondary metabolites,M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
K00231,"PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]",R04178,Coproporphyrinogen III + 3 Oxygen <=> Coproporphyrin III + 3 Hydrogen peroxide,map01110,Biosynthesis of secondary metabolites,M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
K00232,"E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]",R12356,Propanoyl-CoA + Oxygen <=> Propenoyl-CoA + Hydrogen peroxide,map04146,Peroxisome,M00861,"beta-Oxidation, peroxisome, VLCFA"
K00234,"SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]",R02164,Quinone + Succinate <=> Hydroquinone + Fumarate,map05016,Huntington disease,M00148,Succinate dehydrogenase (ubiquinone)
K00235,"SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]",R02164,Quinone + Succinate <=> Hydroquinone + Fumarate,map05016,Huntington disease,M00148,Succinate dehydrogenase (ubiquinone)
K00236,"SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit",R02164,Quinone + Succinate <=> Hydroquinone + Fumarate,map05016,Huntington disease,M00148,Succinate dehydrogenase (ubiquinone)
