,definition
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K01066,aes; acetyl esterase [EC:3.1.1.-]
K01069,"gloB, gloC, HAGH; hydroxyacylglutathione hydrolase [EC:3.1.2.6]"
K01070,"frmB, ESD, fghA; S-formylglutathione hydrolase [EC:3.1.2.12]"
K01071,MCH; medium-chain acyl-[acyl-carrier-protein] hydrolase [EC:3.1.2.21]
K01077,"E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1]"
K01079,"serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]"
K01081,E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]
K01082,"cysQ, MET22, BPNT1; 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]"
K01085,agp; glucose-1-phosphatase [EC:3.1.3.10]
K01087,otsB; trehalose 6-phosphate phosphatase [EC:3.1.3.12]
K01089,hisB; imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15]
K01091,gph; phosphoglycolate phosphatase [EC:3.1.3.18]
K01092,"E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]"
K01093,appA; 4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2]
K01095,pgpA; phosphatidylglycerophosphatase A [EC:3.1.3.27]
K01096,pgpB; phosphatidylglycerophosphatase B [EC:3.1.3.27 3.1.3.81 3.1.3.4 3.6.1.27]
K01101,E3.1.3.41; 4-nitrophenyl phosphatase [EC:3.1.3.41]
K01104,E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]
K01114,plc; phospholipase C [EC:3.1.4.3]
K01118,"acpD, azoR; FMN-dependent NADH-azoreductase [EC:1.7.1.17]"
K01119,"cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]"
K01126,"E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]"
K01129,dgt; dGTPase [EC:3.1.5.1]
K01130,"E3.1.6.1, aslA; arylsulfatase [EC:3.1.6.1]"
K01133,betC; choline-sulfatase [EC:3.1.6.6]
K01138,K01138; uncharacterized sulfatase [EC:3.1.6.-]
K01139,"spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]"
K01141,"sbcB, exoI; exodeoxyribonuclease I [EC:3.1.11.1]"
K01142,"E3.1.11.2, xthA; exodeoxyribonuclease III [EC:3.1.11.2]"
K01143,E3.1.11.3; exodeoxyribonuclease (lambda-induced) [EC:3.1.11.3]
K01144,E3.1.11.5; exodeoxyribonuclease V [EC:3.1.11.5]
K01146,xni; protein Xni
K01147,rnb; exoribonuclease II [EC:3.1.13.1]
K01150,endA; deoxyribonuclease I [EC:3.1.21.1]
K01151,nfo; deoxyribonuclease IV [EC:3.1.21.2]
K01153,"hsdR; type I restriction enzyme, R subunit [EC:3.1.21.3]"
K01154,"hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]"
K01155,E3.1.21.4; type II restriction enzyme [EC:3.1.21.4]
K01156,res; type III restriction enzyme [EC:3.1.21.5]
K01159,ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]
K01160,rusA; crossover junction endodeoxyribonuclease RusA [EC:3.1.22.4]
K01161,E3.1.25.1; deoxyribonuclease (pyrimidine dimer) [EC:3.1.25.1]
K01163,K01163; uncharacterized protein
K01166,RNASET2; ribonuclease T2 [EC:4.6.1.19]
K01169,rna; ribonuclease I (enterobacter ribonuclease) [EC:4.6.1.21]
K01173,"ENDOG; endonuclease G, mitochondrial"
K01174,nuc; micrococcal nuclease [EC:3.1.31.1]
K01175,ybfF; esterase [EC:3.1.-.-]
K01176,"AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]"
K01179,E3.2.1.4; endoglucanase [EC:3.2.1.4]
K01181,"E3.2.1.8, xynA; endo-1,4-beta-xylanase [EC:3.2.1.8]"
K01182,"IMA, malL; oligo-1,6-glucosidase [EC:3.2.1.10]"
K01183,E3.2.1.14; chitinase [EC:3.2.1.14]
K01185,E3.2.1.17; lysozyme [EC:3.2.1.17]
K01186,NEU1; sialidase-1 [EC:3.2.1.18]
K01187,malZ; alpha-glucosidase [EC:3.2.1.20]
K01190,lacZ; beta-galactosidase [EC:3.2.1.23]
K01191,MAN2C1; alpha-mannosidase [EC:3.2.1.24]
K01192,"E3.2.1.25, MANBA, manB; beta-mannosidase [EC:3.2.1.25]"
K01193,"INV, sacA; beta-fructofuranosidase [EC:3.2.1.26]"
K01194,"TREH, treA, treF; alpha,alpha-trehalase [EC:3.2.1.28]"
K01195,"uidA, GUSB; beta-glucuronidase [EC:3.2.1.31]"
K01197,hya; hyaluronoglucosaminidase [EC:3.2.1.35]
K01198,"xynB; xylan 1,4-beta-xylosidase [EC:3.2.1.37]"
K01200,pulA; pullulanase [EC:3.2.1.41]
K01201,"GBA, srfJ; glucosylceramidase [EC:3.2.1.45]"
K01205,NAGLU; alpha-N-acetylglucosaminidase [EC:3.2.1.50]
K01206,FUCA; alpha-L-fucosidase [EC:3.2.1.51]
K01207,nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52]
K01208,"cd, ma, nplT; cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase [EC:3.2.1.54 3.2.1.133 3.2.1.135]"
K01209,abfA; alpha-L-arabinofuranosidase [EC:3.2.1.55]
K01210,"E3.2.1.58; glucan 1,3-beta-glucosidase [EC:3.2.1.58]"
K01212,"sacC, levB; levanase [EC:3.2.1.65]"
K01214,"ISA, treX; isoamylase [EC:3.2.1.68]"
K01215,"dexB; glucan 1,6-alpha-glucosidase [EC:3.2.1.70]"
K01216,E3.2.1.73; licheninase [EC:3.2.1.73]
K01218,"gmuG; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]"
K01220,"E3.2.1.85, lacG; 6-phospho-beta-galactosidase [EC:3.2.1.85]"
K01222,"E3.2.1.86A, celF; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
K01223,"E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
K01224,"E3.2.1.89; arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]"
K01226,treC; trehalose-6-phosphate hydrolase [EC:3.2.1.93]
K01227,E3.2.1.96; mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]
K01232,glvA; maltose-6'-phosphate glucosidase [EC:3.2.1.122]
K01235,aguA; alpha-glucuronidase [EC:3.2.1.139]
K01239,iunH; purine nucleosidase [EC:3.2.2.1]
K01241,amn; AMP nucleosidase [EC:3.2.2.4]
K01243,"mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]"
K01246,tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
K01247,alkA; DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
K01250,rihA; pyrimidine-specific ribonucleoside hydrolase [EC:3.2.-.-]
K01251,"E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]"
K01252,"entB, dhbB, vibB, mxcF; bifunctional isochorismate lyase / aryl carrier protein [EC:3.3.2.1 6.3.2.14]"
K01255,"CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]"
K01256,pepN; aminopeptidase N [EC:3.4.11.2]
K01258,pepT; tripeptide aminopeptidase [EC:3.4.11.4]
K01259,pip; proline iminopeptidase [EC:3.4.11.5]
K01261,pepA; glutamyl aminopeptidase [EC:3.4.11.7]
K01262,pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]
K01265,map; methionyl aminopeptidase [EC:3.4.11.18]
K01266,"dmpA, dap; D-aminopeptidase [EC:3.4.11.19]"
K01267,DNPEP; aspartyl aminopeptidase [EC:3.4.11.21]
K01270,pepD; dipeptidase D [EC:3.4.13.-]
K01271,pepQ; Xaa-Pro dipeptidase [EC:3.4.13.9]
K01273,DPEP; membrane dipeptidase [EC:3.4.13.19]
K01274,E3.4.13.-; D-alanyl-D-alanine dipeptidase [EC:3.4.13.-]
K01277,DPP3; dipeptidyl-peptidase III [EC:3.4.14.4]
K01278,"DPP4, CD26; dipeptidyl-peptidase 4 [EC:3.4.14.5]"
K01281,pepX; X-Pro dipeptidyl-peptidase [EC:3.4.14.11]
K01284,dcp; peptidyl-dipeptidase Dcp [EC:3.4.15.5]
K01286,E3.4.16.4; D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]
K01295,cpg; glutamate carboxypeptidase [EC:3.4.17.11]
K01297,ldcA; muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]
K01299,E3.4.17.19; carboxypeptidase Taq [EC:3.4.17.19]
K01304,pcp; pyroglutamyl-peptidase [EC:3.4.19.3]
K01305,iadA; beta-aspartyl-dipeptidase (metallo-type) [EC:3.4.19.-]
K01308,yqgT; g-D-glutamyl-meso-diaminopimelate peptidase [EC:3.4.19.11]
K01322,PREP; prolyl oligopeptidase [EC:3.4.21.26]
K01338,lon; ATP-dependent Lon protease [EC:3.4.21.53]
K01354,ptrB; oligopeptidase B [EC:3.4.21.83]
K01355,ompT; omptin [EC:3.4.23.49]
K01356,lexA; repressor LexA [EC:3.4.21.88]
K01358,"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
K01361,E3.4.21.96; lactocepin [EC:3.4.21.96]
K01372,"BLMH, pepC; bleomycin hydrolase [EC:3.4.22.40]"
K01390,iga; IgA-specific metalloendopeptidase [EC:3.4.24.13]
K01407,ptrA; protease III [EC:3.4.24.55]
K01409,"KAE1, tsaD, QRI7; N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]"
K01414,prlC; oligopeptidase A [EC:3.4.24.70]
K01419,"hslV, clpQ; ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]"
K01420,"fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein"
K01421,yhgE; putative membrane protein
K01423,bepA; beta-barrel assembly-enhancing protease [EC:3.4.-.-]
K01424,"E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]"
K01425,"glsA, GLS; glutaminase [EC:3.5.1.2]"
K01426,"E3.5.1.4, amiE; amidase [EC:3.5.1.4]"
K01428,ureC; urease subunit alpha [EC:3.5.1.5]
K01429,ureB; urease subunit beta [EC:3.5.1.5]
K01430,ureA; urease subunit gamma [EC:3.5.1.5]
K01433,purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]
K01436,K01436; amidohydrolase [EC:3.5.1.-]
K01438,argE; acetylornithine deacetylase [EC:3.5.1.16]
K01439,dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]
K01442,E3.5.1.24; choloylglycine hydrolase [EC:3.5.1.24]
K01443,"nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]"
K01447,xlyAB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K01448,amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K01449,"cwlJ, sleB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
K01451,hipO; hippurate hydrolase [EC:3.5.1.32]
K01455,E3.5.1.49; formamidase [EC:3.5.1.49]
K01457,atzF; allophanate hydrolase [EC:3.5.1.54]
K01460,gsp; glutathionylspermidine amidase/synthetase [EC:3.5.1.78 6.3.1.8]
K01462,"PDF, def; peptide deformylase [EC:3.5.1.88]"
K01464,"DPYS, dht, hydA; dihydropyrimidinase [EC:3.5.2.2]"
K01465,"URA4, pyrC; dihydroorotase [EC:3.5.2.3]"
K01466,allB; allantoinase [EC:3.5.2.5]
K01467,ampC; beta-lactamase class C [EC:3.5.2.6]
K01468,"hutI, AMDHD1; imidazolonepropionase [EC:3.5.2.7]"
K01470,E3.5.2.10; creatinine amidohydrolase [EC:3.5.2.10]
K01473,hyuA; N-methylhydantoinase A [EC:3.5.2.14]
K01474,hyuB; N-methylhydantoinase B [EC:3.5.2.14]
K01476,"E3.5.3.1, rocF, arg; arginase [EC:3.5.3.1]"
K01478,arcA; arginine deiminase [EC:3.5.3.6]
K01479,hutG; formiminoglutamase [EC:3.5.3.8]
K01480,speB; agmatinase [EC:3.5.3.11]
K01482,"DDAH, ddaH; dimethylargininase [EC:3.5.3.18]"
K01483,allA; ureidoglycolate lyase [EC:4.3.2.3]
K01484,astB; succinylarginine dihydrolase [EC:3.5.3.23]
K01485,codA; cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]
K01486,ade; adenine deaminase [EC:3.5.4.2]
K01487,"E3.5.4.3, guaD; guanine deaminase [EC:3.5.4.3]"
K01488,"add, ADA; adenosine deaminase [EC:3.5.4.4]"
K01489,"cdd, CDA; cytidine deaminase [EC:3.5.4.5]"
K01491,folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
K01493,comEB; dCMP deaminase [EC:3.5.4.12]
K01494,dcd; dCTP deaminase [EC:3.5.4.13]
K01495,"GCH1, folE; GTP cyclohydrolase IA [EC:3.5.4.16]"
K01496,hisI; phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]
K01497,"ribA, RIB1; GTP cyclohydrolase II [EC:3.5.4.25]"
K01499,mch; methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]
K01501,E3.5.5.1; nitrilase [EC:3.5.5.1]
K01507,ppa; inorganic pyrophosphatase [EC:3.6.1.1]
K01512,acyP; acylphosphatase [EC:3.6.1.7]
K01515,nudF; ADP-ribose pyrophosphatase [EC:3.6.1.13]
K01520,"dut, DUT; dUTP pyrophosphatase [EC:3.6.1.23]"
K01521,cdh; CDP-diacylglycerol pyrophosphatase [EC:3.6.1.26]
K01523,hisE; phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]
K01524,"ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]"
K01525,apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]
K01529,yjjX; inosine/xanthosine triphosphatase [EC:3.6.1.-]
K01531,"mgtA, mgtB; P-type Mg2+ transporter [EC:7.2.2.14]"
K01533,copB; P-type Cu2+ transporter [EC:7.2.2.9]
K01534,zntA; Cd2+/Zn2+-exporting ATPase [EC:3.6.3.3 7.2.2.12]
K01537,ATP2C; P-type Ca2+ transporter type 2C [EC:7.2.2.10]
K01546,kdpA; potassium-transporting ATPase potassium-binding subunit
K01547,kdpB; potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]
K01548,kdpC; potassium-transporting ATPase KdpC subunit
K01551,"arsA, ASNA1, GET3; arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]"
K01560,E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]
K01561,dehH; haloacetate dehalogenase [EC:3.8.1.3]
K01567,pdaA; peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]
K01571,oadA; oxaloacetate decarboxylase (Na+ extruding) subunit alpha [EC:7.2.4.2]
K01573,oadG; oxaloacetate decarboxylase (Na+ extruding) subunit gamma
K01575,"alsD, budA, aldC; acetolactate decarboxylase [EC:4.1.1.5]"
K01577,oxc; oxalyl-CoA decarboxylase [EC:4.1.1.8]
K01579,panD; aspartate 1-decarboxylase [EC:4.1.1.11]
K01580,"E4.1.1.15, gadB, gadA, GAD; glutamate decarboxylase [EC:4.1.1.15]"
K01581,"E4.1.1.17, ODC1, speC, speF; ornithine decarboxylase [EC:4.1.1.17]"
K01582,"E4.1.1.18, ldcC, cadA; lysine decarboxylase [EC:4.1.1.18]"
K01584,adiA; arginine decarboxylase [EC:4.1.1.19]
K01585,speA; arginine decarboxylase [EC:4.1.1.19]
K01586,lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
K01588,purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
K01589,purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
K01590,"hdc, HDC; histidine decarboxylase [EC:4.1.1.22]"
K01591,pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]
K01595,ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]
K01596,"E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]"
K01597,"MVD, mvaD; diphosphomevalonate decarboxylase [EC:4.1.1.33]"
K01598,"PPCDC, coaC; phosphopantothenoylcysteine decarboxylase [EC:4.1.1.36]"
K01599,"hemE, UROD; uroporphyrinogen decarboxylase [EC:4.1.1.37]"
K01601,rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]
K01604,mmdA; methylmalonyl-CoA decarboxylase subunit alpha [EC:7.2.4.3]
K01607,pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]
K01608,gcl; tartronate-semialdehyde synthase [EC:4.1.1.47]
K01609,trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48]
K01610,"E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"
K01611,"speD, AMD1; S-adenosylmethionine decarboxylase [EC:4.1.1.50]"
K01612,bsdC; vanillate/4-hydroxybenzoate decarboxylase subunit C [EC:4.1.1.- 4.1.1.61]
K01613,"psd, PISD; phosphatidylserine decarboxylase [EC:4.1.1.65]"
K01615,gcdA; glutaconyl-CoA decarboxylase subunit alpha [EC:7.2.4.5]
K01619,"deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]"
K01620,ltaE; threonine aldolase [EC:4.1.2.48]
K01621,"xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]"
K01623,"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
K01624,"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
K01625,eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
K01626,"E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
K01627,kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]
K01628,fucA; L-fuculose-phosphate aldolase [EC:4.1.2.17]
K01629,rhaD; rhamnulose-1-phosphate aldolase [EC:4.1.2.19]
K01630,garL; 2-dehydro-3-deoxyglucarate aldolase [EC:4.1.2.20]
K01631,dgoA; 2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]
K01633,"folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]"
K01635,"lacD; tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]"
K01637,"E4.1.3.1, aceA; isocitrate lyase [EC:4.1.3.1]"
K01638,"aceB, glcB; malate synthase [EC:2.3.3.9]"
K01639,"E4.1.3.3, nanA, NPL; N-acetylneuraminate lyase [EC:4.1.3.3]"
K01640,"E4.1.3.4, HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]"
K01641,E2.3.3.10; hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]
K01643,citF; citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]
K01644,citE; citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]
K01646,citD; citrate lyase subunit gamma (acyl carrier protein)
K01647,"CS, gltA; citrate synthase [EC:2.3.3.1]"
K01649,"leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]"
K01652,"E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
K01653,"E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]"
K01654,"E2.5.1.56, neuB; N-acetylneuraminate synthase [EC:2.5.1.56]"
K01657,trpE; anthranilate synthase component I [EC:4.1.3.27]
K01658,trpG; anthranilate synthase component II [EC:4.1.3.27]
K01659,prpC; 2-methylcitrate synthase [EC:2.3.3.5]
K01661,menB; naphthoate synthase [EC:4.1.3.36]
K01662,dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]
K01664,pabA; para-aminobenzoate synthetase component II [EC:2.6.1.85]
K01665,pabB; para-aminobenzoate synthetase component I [EC:2.6.1.85]
K01666,mhpE; 4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39]
K01667,tnaA; tryptophanase [EC:4.1.99.1]
K01668,E4.1.99.2; tyrosine phenol-lyase [EC:4.1.99.2]
K01669,phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
K01671,yihT; sulfofructosephosphate aldolase [EC:4.1.2.57]
K01673,"cynT, can; carbonic anhydrase [EC:4.2.1.1]"
K01674,cah; carbonic anhydrase [EC:4.2.1.1]
K01676,"E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]"
K01677,"E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]"
K01678,"E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]"
K01679,"E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]"
K01681,"ACO, acnA; aconitate hydratase [EC:4.2.1.3]"
K01682,acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
K01684,dgoD; galactonate dehydratase [EC:4.2.1.6]
K01685,uxaA; altronate hydrolase [EC:4.2.1.7]
K01686,uxuA; mannonate dehydratase [EC:4.2.1.8]
K01687,ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]
K01689,"ENO, eno; enolase [EC:4.2.1.11]"
K01690,edd; phosphogluconate dehydratase [EC:4.2.1.12]
K01692,"paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]"
K01693,hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]
K01695,trpA; tryptophan synthase alpha chain [EC:4.2.1.20]
K01696,trpB; tryptophan synthase beta chain [EC:4.2.1.20]
K01697,CBS; cystathionine beta-synthase [EC:4.2.1.22]
K01698,"hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]"
K01699,pduC; propanediol dehydratase large subunit [EC:4.2.1.28]
K01703,"leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"
K01704,"leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]"
K01706,gudD; glucarate dehydratase [EC:4.2.1.40]
K01708,garD; galactarate dehydratase [EC:4.2.1.42]
K01709,"rfbG; CDP-glucose 4,6-dehydratase [EC:4.2.1.45]"
K01710,"E4.2.1.46, rfbB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]"
K01711,"gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47]"
K01712,"hutU, UROC1; urocanate hydratase [EC:4.2.1.49]"
K01713,pheC; cyclohexadienyl dehydratase [EC:4.2.1.51 4.2.1.91]
K01714,dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
K01715,crt; enoyl-CoA hydratase [EC:4.2.1.17]
K01716,fabA; 3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]
K01719,"hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75]"
K01720,prpD; 2-methylcitrate dehydratase [EC:4.2.1.79]
K01725,cynS; cyanate lyase [EC:4.2.1.104]
K01727,"hysA, hylA, hylB; hyaluronate lyase [EC:4.2.2.1]"
K01728,pel; pectate lyase [EC:4.2.2.2]
K01729,algL; poly(beta-D-mannuronate) lyase [EC:4.2.2.3]
K01730,ogl; oligogalacturonide lyase [EC:4.2.2.6]
K01733,thrC; threonine synthase [EC:4.2.3.1]
K01734,mgsA; methylglyoxal synthase [EC:4.2.3.3]
K01735,aroB; 3-dehydroquinate synthase [EC:4.2.3.4]
K01736,aroC; chorismate synthase [EC:4.2.3.5]
K01737,"queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]"
K01738,cysK; cysteine synthase [EC:2.5.1.47]
K01739,metB; cystathionine gamma-synthase [EC:2.5.1.48]
K01740,metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
K01744,aspA; aspartate ammonia-lyase [EC:4.3.1.1]
K01745,"hutH, HAL; histidine ammonia-lyase [EC:4.3.1.3]"
K01746,E4.3.1.4; formiminotetrahydrofolate cyclodeaminase [EC:4.3.1.4]
K01749,"hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61]"
K01750,"E4.3.1.12, ocd; ornithine cyclodeaminase [EC:4.3.1.12]"
K01751,E4.3.1.15; diaminopropionate ammonia-lyase [EC:4.3.1.15]
K01752,"E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]"
K01753,dsdA; D-serine dehydratase [EC:4.3.1.18]
K01754,"E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]"
K01755,"argH, ASL; argininosuccinate lyase [EC:4.3.2.1]"
K01756,"purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]"
K01758,CTH; cystathionine gamma-lyase [EC:4.4.1.1]
K01759,"GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]"
K01760,metC; cysteine-S-conjugate beta-lyase [EC:4.4.1.13]
K01761,E4.4.1.11; methionine-gamma-lyase [EC:4.4.1.11]
K01766,csdA; cysteine sulfinate desulfinase [EC:4.4.1.-]
K01768,E4.6.1.1; adenylate cyclase [EC:4.6.1.1]
K01770,"ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]"
K01771,plc; 1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13]
K01772,"hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]"
K01775,alr; alanine racemase [EC:5.1.1.1]
K01776,murI; glutamate racemase [EC:5.1.1.3]
K01777,prdF; proline racemase [EC:5.1.1.4]
K01778,dapF; diaminopimelate epimerase [EC:5.1.1.7]
K01779,racD; aspartate racemase [EC:5.1.1.13]
K01780,cntK; histidine racemase [EC:5.1.1.24]
K01782,fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]
K01783,"rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]"
K01784,"galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]"
K01785,"galM, GALM; aldose 1-epimerase [EC:5.1.3.3]"
K01787,RENBP; N-acylglucosamine 2-epimerase [EC:5.1.3.8]
K01788,nanE; N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]
K01790,"rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]"
K01791,wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]
K01792,E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
K01802,E5.2.1.8; peptidylprolyl isomerase [EC:5.2.1.8]
K01803,"TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]"
